Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
palazzo-trousers,Palazzo Trousers,"<p>New Palazzo trousers with a wide, comfortable stretch waist that sits beautifully on any silhouette. Wide, flowing leg in a delicate hand-printed floral cotton. Available in two lengths &mdash; Short or Long &mdash; so you can find the perfect fit.</p><ul><li>Material: Cotton</li><li>Origin: Hand-printed in India</li><li>Sizing: Inside leg to hem &mdash; Short 53 cm &middot; Long 66 cm</li><li>Care: Machine wash cold. Warm iron on reverse. Do not tumble dry.</li></ul>",Kaftan Queens,,Trousers,"women,trousers,new",TRUE,Colour,Teal Blue & White Flower,Size,Short,,,KQ-palazzo-trousers-teal-blue-white-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,Palazzo Trousers | Kaftan Queens,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-teal-1.jpg,g,,,active
palazzo-trousers,,,,,,,,Colour,Teal Blue & White Flower,Size,Long,,,KQ-palazzo-trousers-teal-blue-white-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-teal-1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-teal-1.jpg,1,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0961/6064/5463/files/60ickvjo_image3.jpg,2,Palazzo Trousers - Teal Blue & White Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Short,,,KQ-palazzo-trousers-pink-blue-flower-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinkblue-1.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink & Blue Flower,Size,Long,,,KQ-palazzo-trousers-pink-blue-flower-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinkblue-1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinkblue-1.jpg,3,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinkblue-2.jpg,4,Palazzo Trousers - Pink & Blue Flower,,,,,,,,
palazzo-trousers,,,,,,,,Colour,"Orange, Yellow & Gold Fleck",Size,Short,,,KQ-palazzo-trousers-orange-yellow-gold-fleck-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-orange-1.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,"Orange, Yellow & Gold Fleck",Size,Long,,,KQ-palazzo-trousers-orange-yellow-gold-fleck-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-orange-1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-orange-1.jpg,5,"Palazzo Trousers - Orange, Yellow & Gold Fleck",,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-orange-2.jpg,6,"Palazzo Trousers - Orange, Yellow & Gold Fleck",,,,,,,,
palazzo-trousers,,,,,,,,Colour,Pink Tiedye,Size,Short,,,KQ-palazzo-trousers-pink-tiedye-short,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinktiedye-1.jpg,g,,,
palazzo-trousers,,,,,,,,Colour,Pink Tiedye,Size,Long,,,KQ-palazzo-trousers-pink-tiedye-long,300,shopify,10,deny,manual,55.00,,TRUE,TRUE,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinktiedye-1.jpg,g,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinktiedye-1.jpg,7,Palazzo Trousers - Pink Tiedye,,,,,,,,
palazzo-trousers,,,,,,,,,,,,,,,,,,,,,,,,,https://image-scraper-3.preview.emergentagent.com/products/palazzo-pinktiedye-2.jpg,8,Palazzo Trousers - Pink Tiedye,,,,,,,,
